1111A0,Oilseed farming,72,22896
1111B0,Grain farming,4754,30038
111200,Vegetable and melon farming,2336,7586
111300,Fruit and tree nut farming,4941,17305
111400,"Greenhouse, nursery, and floriculture production",4903,9681
111900,Other crop farming,4480,9934
112120,Dairy cattle and milk production,1550,7274
1121A0,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",959,23828
112300,Poultry and egg production,1361,3713
112A00,"Animal production, except cattle and poultry and eggs",2947,25444
113000,Forestry and logging,6363,8448
114000,"Fishing, hunting and trapping",1112,5434
115000,Support activities for agriculture and forestry,12285,16115
211000,Oil and gas extraction,34979,209735
212100,Coal mining,9212,28791
212230,"Copper, nickel, lead, and zinc mining",1456,7095
2122A0,"Iron, gold, silver, and other metal ore mining",2670,10099
212310,Stone mining and quarrying,2385,8559
2123A0,Other nonmetallic mineral mining and quarrying,3190,8450
213111,Drilling oil and gas wells,8956,17484
21311A,Other support activities for mining,27680,50602
221100,"Electric power generation, transmission, and distribution",54469,195047
221200,Natural gas distribution,11300,45578
221300,"Water, sewage and other systems",3991,8132
233210,Health care structures,18624,26312
233262,Educational and vocational structures,26620,39567
230301,Nonresidential maintenance and repair,42341,74706
230302,Residential maintenance and repair,16087,28339
2332A0,Office and commercial structures,34228,40570
233412,Multifamily residential structures,15367,20412
2334A0,Other residential structures,35545,75903
233230,Manufacturing structures,17556,20876
2332D0,Other nonresidential structures,28117,37062
233240,Power and communication structures,34440,58876
233411,Single-family residential structures,57227,69898
2332C0,Transportation structures and highways and streets,39756,59626
321100,Sawmills and wood preservation,4276,6513
321200,"Veneer, plywood, and engineered wood product manufacturing",3528,5412
321910,Millwork,4688,7008
3219A0,All other wood product manufacturing,4164,6734
327100,Clay product and refractory manufacturing,2190,3364
327200,Glass and glass product manufacturing,5827,10059
327310,Cement manufacturing,1060,2434
327320,Ready-mix concrete manufacturing,5034,6968
327330,"Concrete pipe, brick, and block manufacturing",1275,2429
327390,Other concrete product manufacturing,2478,3734
327400,Lime and gypsum product manufacturing,1063,2560
327910,Abrasive product manufacturing,751,3187
327991,Cut stone and stone product manufacturing,1078,1655
327992,Ground or treated mineral and earth manufacturing,686,1736
327993,Mineral wool manufacturing,1187,2328
327999,Miscellaneous nonmetallic mineral products,752,2018
331110,Iron and steel mills and ferroalloy manufacturing,7846,22345
331200,Steel product manufacturing from purchased steel,4328,7260
331313,Alumina refining and primary aluminum production,323,735
33131B,Aluminum product manufacturing from purchased aluminum,993,1479
331410,Nonferrous Metal (except Aluminum) Smelting and Refining,3379,5764
331420,"Copper rolling, drawing, extruding and alloying",1195,5687
331490,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying",2468,3074
331510,Ferrous metal foundries,2132,5521
331520,Nonferrous metal foundries,5173,8535
332114,Custom roll forming,3384,4998
33211A,"All other forging, stamping, and sintering",398,1955
332119,"Metal crown, closure, and other metal stamping (except automotive)",3195,4758
332200,Cutlery and handtool manufacturing,3055,4356
332310,Plate work and fabricated structural product manufacturing,3200,4815
332320,Ornamental and architectural metal products manufacturing,10348,13977
332410,Power boiler and heat exchanger manufacturing,10905,14372
332420,Metal tank (heavy gauge) manufacturing,2026,2973
332430,"Metal can, box, and other metal container (light gauge) manufacturing",2125,3392
332500,Hardware manufacturing,2815,5010
332600,Spring and wire product manufacturing,1571,2698
332710,Machine shops,2283,2998
332720,"Turned product and screw, nut, and bolt manufacturing",16729,19976
332800,"Coating, engraving, heat treating and allied activities",4734,11403
332913,Plumbing fixture fitting and trim manufacturing,7371,12103
33291A,Valve and fittings other than plumbing,617,1382
332991,Ball and roller bearing manufacturing,6674,11884
332996,Fabricated pipe and pipe fitting manufacturing,2202,3251
33299A,"Ammunition, arms, ordnance, and accessories manufacturing",2115,3243
332999,Other fabricated metal manufacturing,3821,6982
333111,Farm machinery and equipment manufacturing,4090,5831
333112,Lawn and garden equipment manufacturing,4524,9893
333120,Construction machinery manufacturing,812,1745
333130,Mining and oil and gas field machinery manufacturing,7445,15045
333242,Semiconductor machinery manufacturing,9752,12951
33329A,Other industrial machinery manufacturing,2530,4395
333314,Optical instrument and lens manufacturing,5445,9099
333316,Photographic and photocopying equipment manufacturing,2518,2646
333318,Other commercial and service industry machinery manufacturing,688,917
333414,Heating equipment (except warm air furnaces) manufacturing,4676,8087
333415,"Air conditioning, refrigeration, and warm air heating equipment manufacturing",1056,2045
333413,Industrial and commercial fan and blower and air purification equipment manufacturing,5761,11711
333511,Industrial mold manufacturing,1652,2406
333514,"Special tool, die, jig, and fixture manufacturing",2513,2990
333517,Machine tool manufacturing,3991,4205
33351B,"Cutting and machine tool accessory, rolling mill, and other metalworking machinery manufacturing",2338,2960
333611,Turbine and turbine generator set units manufacturing,2650,3687
333612,"Speed changer, industrial high-speed drive, and gear manufacturing",3126,5991
333613,Mechanical power transmission equipment manufacturing,1120,2109
333618,Other engine equipment manufacturing,1054,2074
333912,Air and gas compressor manufacturing,4410,7778
33391A,Pump and pumping equipment manufacturing,1803,3877
333920,Material handling equipment manufacturing,2773,6657
333991,Power-driven handtool manufacturing,4864,10575
333993,Packaging machinery manufacturing,612,1770
333994,Industrial process furnace and oven manufacturing,1540,2465
33399A,Other general purpose machinery manufacturing,819,1207
33399B,Fluid power process machinery,4546,8164
334111,Electronic computer manufacturing,3393,4826
334112,Computer storage device manufacturing,7530,9312
334118,Computer terminals and other computer peripheral equipment manufacturing,4094,5117
334210,Telephone apparatus manufacturing,4078,8309
334220,Broadcast and wireless communications equipment,4539,8245
334290,Other communications equipment manufacturing,10069,22396
334413,Semiconductor and related device manufacturing,3375,4050
334418,Printed circuit assembly (electronic assembly) manufacturing,23359,42287
33441A,Other electronic component manufacturing,5309,8938
334510,Electromedical and electrotherapeutic apparatus manufacturing,14333,16628
334511,"Search, detection, and navigation instruments manufacturing",7038,22580
334512,Automatic environmental control manufacturing,18781,39908
334513,Industrial process variable instruments manufacturing,1517,1701
334514,Totalizing fluid meter and counting device manufacturing,7205,7784
334515,Electricity and signal testing instruments manufacturing,1557,5552
334516,Analytical laboratory instrument manufacturing,4614,7404
334517,Irradiation apparatus manufacturing,3776,10459
33451A,"Watch, clock, and other measuring and controlling device manufacturing",3268,6271
334300,Audio and video equipment manufacturing,4060,9336
334610,Manufacturing and reproducing magnetic and optical media,1262,1745
335110,Electric lamp bulb and part manufacturing,899,2116
335120,Lighting fixture manufacturing,785,879
335210,Small electrical appliance manufacturing,2797,4390
335221,Household cooking appliance manufacturing,948,1426
335222,Household refrigerator and home freezer manufacturing,731,1950
335224,Household laundry equipment manufacturing,1210,1707
335228,Other major household appliance manufacturing,970,1214
335311,"Power, distribution, and specialty transformer manufacturing",833,2346
335312,Motor and generator manufacturing,1991,2489
335313,Switchgear and switchboard apparatus manufacturing,3091,4748
335314,Relay and industrial control manufacturing,2909,4867
335911,Storage battery manufacturing,4356,4519
335912,Primary battery manufacturing,1312,2716
335920,Communication and energy wire and cable manufacturing,1299,3102
335930,Wiring device manufacturing,2069,4596
335991,Carbon and graphite product manufacturing,3427,6480
335999,All other miscellaneous electrical equipment and component manufacturing,544,1379
336111,Automobile manufacturing,2617,3932
336112,Light truck and utility vehicle manufacturing,8014,16694
336120,Heavy duty truck manufacturing,6504,33762
336211,Motor vehicle body manufacturing,2272,6161
336212,Truck trailer manufacturing,2949,3178
336213,Motor home manufacturing,1670,2148
336214,Travel trailer and camper manufacturing,575,624
336310,Motor vehicle gasoline engine and engine parts manufacturing,1431,2404
336320,Motor vehicle electrical and electronic equipment manufacturing,4035,6424
336350,Motor vehicle transmission and power train parts manufacturing,3268,4462
336360,Motor vehicle seating and interior trim manufacturing,5832,8289
336370,Motor vehicle metal stamping,3417,4403
336390,Other Motor Vehicle Parts Manufacturing,5095,7957
3363A0,"Motor vehicle steering, suspension component (except spring), and brake systems manufacturing",7582,12983
336411,Aircraft manufacturing,4192,5671
336412,Aircraft engine and engine parts manufacturing,24220,50757
336413,Other aircraft parts and auxiliary equipment manufacturing,9313,20707
336414,Guided missile and space vehicle manufacturing,9668,17276
33641A,Propulsion units and parts for space vehicles and guided missiles,10270,10502
336500,Railroad rolling stock manufacturing,1725,3077
336611,Ship building and repairing,1994,4157
336612,Boat building,9204,10309
336991,"Motorcycle, bicycle, and parts manufacturing",1708,2231
336992,"Military armored vehicle, tank, and tank component manufacturing",1318,2872
336999,All other transportation equipment manufacturing,1162,2473
337110,Wood kitchen cabinet and countertop manufacturing,941,2020
337121,Upholstered household furniture manufacturing,4600,4944
337122,Nonupholstered wood household furniture manufacturing,2178,2861
337127,Institutional furniture manufacturing,1352,1514
33712N,Other household nonupholstered furniture,1144,1468
337215,"Showcase, partition, shelving, and locker manufacturing",501,743
33721A,Office furniture and custom architectural woodwork and millwork manufacturing,2226,2470
337900,Other furniture related product manufacturing,3675,5648
339112,Surgical and medical instrument manufacturing,1627,2705
339113,Surgical appliance and supplies manufacturing,13568,24018
339114,Dental equipment and supplies manufacturing,9410,20722
339115,Ophthalmic goods manufacturing,1394,2565
339116,Dental laboratories,2281,4978
339910,Jewelry and silverware manufacturing,2759,3146
339920,Sporting and athletic goods manufacturing,1386,2910
339930,"Doll, toy, and game manufacturing",2453,3852
339940,Office supplies (except paper) manufacturing,731,890
339950,Sign manufacturing,680,1037
339990,All other miscellaneous manufacturing,3986,4650
311111,Dog and cat food manufacturing,7577,12283
311119,Other animal food manufacturing,1670,5003
311210,Flour milling and malt manufacturing,1665,3680
311221,Wet corn milling,1788,3295
311225,Fats and oils refining and blending,1379,2188
311224,Soybean and other oilseed processing,514,1821
311230,Breakfast cereal manufacturing,960,4165
311300,Sugar and confectionery product manufacturing,1352,3102
311410,Frozen food manufacturing,4176,7635
311420,"Fruit and vegetable canning, pickling, and drying",4580,7438
311513,Cheese manufacturing,4956,8195
311514,"Dry, condensed, and evaporated dairy product manufacturing",2353,4579
31151A,Fluid milk and butter manufacturing,2098,5237
311520,Ice cream and frozen dessert manufacturing,3970,6837
311615,Poultry processing,1043,1542
31161A,"Animal (except poultry) slaughtering, rendering, and processing",7608,11762
311700,Seafood product preparation and packaging,10073,17179
311810,Bread and bakery product manufacturing,1378,2005
3118A0,"Cookie, cracker, pasta, and tortilla manufacturing",10216,12978
311910,Snack food manufacturing,4279,7593
311920,Coffee and tea manufacturing,2869,8290
311930,Flavoring syrup and concentrate manufacturing,896,2572
311940,Seasoning and dressing manufacturing,1994,3919
311990,All other food manufacturing,2001,4528
312110,Soft drink and ice manufacturing,2993,4777
312120,Breweries,6977,10585
312130,Wineries,3182,9832
312140,Distilleries,2507,4871
312200,Tobacco product manufacturing,900,3853
313100,"Fiber, yarn, and thread mills",1510,24079
313200,Fabric mills,1214,1718
313300,Textile and fabric finishing and fabric coating mills,2965,4830
314110,Carpet and rug mills,1861,2045
314120,Curtain and linen mills,1767,2719
314900,Other textile product mills,792,1193
315000,Apparel manufacturing,2558,3410
316000,Leather and allied product manufacturing,6261,7133
322110,Pulp mills,1906,2852
322120,Paper mills,641,1685
322130,Paperboard mills,6952,15405
322210,Paperboard container manufacturing,3002,8826
322220,Paper Bag and Coated and Treated Paper Manufacturing,9981,12949
322230,Stationery product manufacturing,4060,6311
322291,Sanitary paper product manufacturing,1229,1703
322299,All other converted paper product manufacturing,2335,4367
323110,Printing,924,1635
323120,Support activities for printing,23930,35913
324110,Petroleum refineries,1641,2383
324121,Asphalt paving mixture and block manufacturing,14135,142534
324122,Asphalt shingle and coating materials manufacturing,1050,2908
324190,Other petroleum and coal products manufacturing,1054,4018
325110,Petrochemical manufacturing,1719,8368
325120,Industrial gas manufacturing,5655,27130
325130,Synthetic dye and pigment manufacturing,2548,3035
325180,Other Basic Inorganic Chemical Manufacturing,1868,3806
325190,Other basic organic chemical manufacturing,5395,14880
325211,Plastics material and resin manufacturing,7079,29323
3252A0,Synthetic rubber and artificial and synthetic fibers and filaments manufacturing,5500,17961
325411,Medicinal and botanical manufacturing,2919,4401
325412,Pharmaceutical preparation manufacturing,2915,7620
325413,In-vitro diagnostic substance manufacturing,30131,85835
325414,Biological product (except diagnostic) manufacturing,2859,8086
325310,Fertilizer manufacturing,3423,18950
325320,Pesticide and other agricultural chemical manufacturing,1645,9922
325510,Paint and coating manufacturing,1147,5120
325520,Adhesive manufacturing,2781,8001
325610,Soap and cleaning compound manufacturing,1526,4042
325620,Toilet preparation manufacturing,3697,19663
325910,Printing ink manufacturing,2802,17862
3259A0,All other chemical product and preparation manufacturing,583,1219
326110,Plastics packaging materials and unlaminated film and sheet manufacturing,5190,13073
326120,"Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing",5350,10947
326130,"Laminated plastics plate, sheet (except packaging), and shape manufacturing",3267,5418
326140,Polystyrene foam product manufacturing,951,1388
326150,Urethane and other foam product (except polystyrene) manufacturing,1391,2471
326160,Plastics bottle manufacturing,1706,2604
326190,Other plastics product manufacturing,1740,3266
326210,Tire manufacturing,15684,27993
326220,Rubber and plastics hoses and belting manufacturing,4222,5809
326290,Other rubber product manufacturing,1546,1915
423100,Motor vehicle and motor vehicle parts and supplies,3184,5528
423400,Professional and commercial equipment and supplies,24355,51160
423600,Household appliances and electrical and electronic goods ,89308,118322
423800,"Machinery, equipment, and supplies",33404,74490
423A00,Other durable goods merchant wholesalers,66512,98391
424200,Drugs and druggists’ sundries,64239,115759
424400,Grocery and related product wholesalers ,24140,68267
424700,Petroleum and petroleum products,39531,67519
424A00,Other nondurable goods merchant wholesalers,10878,38072
425000,Wholesale electronic markets and agents and brokers,65113,131735
4200ID,Customs duties,40195,52088
441000,Motor vehicle and parts dealers,,0
445000,Food and beverage stores,92380,126720
452000,General merchandise stores,82848,113391
444000,Building material and garden equipment and supplies dealers,84367,98748
446000,Health and personal care stores,47730,66586
447000,Gasoline stations,43028,51695
448000,Clothing and clothing accessories stores,20148,36317
454000,Nonstore retailers,34691,49193
4B0000,All other retail,36084,103004
481000,Air transportation,68843,87286
482000,Rail transportation,40570,73867
483000,Water transportation,22308,40651
484000,Truck transportation,6554,13479
485000,Transit and ground passenger transportation,78692,127500
486000,Pipeline transportation,17111,35546
48A000,Scenic and sightseeing transportation and support activities for transportation,6754,25161
492000,Couriers and messengers,39936,54884
493000,Warehousing and storage,27228,39638
511110,Newspaper publishers,35598,47050
511120,Periodical Publishers,10327,20702
511130,Book publishers,7395,18110
5111A0,"Directory, mailing list, and other publishers",5394,18096
511200,Software publishers,3059,9322
512100,Motion picture and video industries,66035,134085
512200,Sound recording industries,28304,67272
515100,Radio and television broadcasting,2034,12289
515200,Cable and other subscription programming,11642,37662
517110,Wired telecommunications carriers,9433,43278
517210,Wireless telecommunications carriers (except satellite),60048,154948
517A00,"Satellite, telecommunications resellers, and all other telecommunications",21998,92170
518200,"Data processing, hosting, and related services",8280,13527
519130,Internet publishing and broadcasting and Web search portals,22339,56150
5191A0,"News syndicates, libraries, archives and all other information services",13255,43160
522A00,Nondepository credit intermediation and related activities,2034,4640
52A000,Monetary authorities and depository credit intermediation,100650,191909
523900,Other financial investment activities,110468,318709
523A00,Securities and commodity contracts intermediation and brokerage,106742,126593
524113,Direct life insurance carriers,96586,105453
5241XX,"Insurance carriers, except direct life",31183,56487
524200,"Insurance agencies, brokerages, and related activities",116349,203760
525000,"Funds, trusts, and other financial vehicles",67593,126928
531HSO,Owner-occupied housing,518,12938
531HST,Tenant-occupied housing,,1111606
531ORE,Other real estate,15469,435756
532100,Automotive equipment rental and leasing,68251,395286
532400,Commercial and industrial machinery and equipment rental and leasing,8790,24212
532A00,General and consumer goods rental,9736,29864
533000,Lessors of nonfinancial intangible assets,6562,12614
541100,Legal services,5443,96378
541511,Custom computer programming services,115473,206906
541512,Computer systems design services,76437,97090
54151A,"Other computer related services, including facilities management",91144,117342
541200,"Accounting, tax preparation, bookkeeping, and payroll services",24979,34593
541300,"Architectural, engineering, and related services",89153,124361
541610,Management consulting services,132119,169610
5416A0,Environmental and other technical consulting services,88969,126044
541700,Scientific research and development services,23948,29722
541800,"Advertising, public relations, and related services",76685,95331
541400,Specialized design services,27286,70617
541920,Photographic services,7766,19897
541940,Veterinary services,1900,6486
5419A0,"All other miscellaneous professional, scientific, and technical services ",11286,20149
550000,Management of companies and enterprises,9509,53159
561300,Employment services,259415,300981
561700,Services to buildings and dwellings,144323,190374
561100,Office administrative services,53239,82256
561200,Facilities support services,26357,27555
561400,Business support services,8242,13747
561500,Travel arrangement and reservation services,30265,38498
561600,Investigation and security services,11512,18385
561900,Other support services,27819,33126
562000,Waste management and remediation services,15383,22546
611100,Elementary and secondary schools,24137,41277
611A00,"Junior colleges, colleges, universities, and professional schools",26486,28565
611B00,Other educational services,105888,152497
621100,Offices of physicians,29024,32083
621200,Offices of dentists,251407,282543
621300,Offices of other health practitioners,49184,70669
621400,Outpatient care centers,35653,59307
621500,Medical and diagnostic laboratories,21202,56566
621600,Home health care services,21193,33805
621900,Other ambulatory health care services,42396,50198
622000,Hospitals,14703,19310
623A00,Nursing and community care facilities,329833,398810
623B00,"Residential mental health, substance abuse, and other residential care facilities",88788,97340
624100,Individual and family services,24285,26345
624400,Child day care services,48322,48999
624A00,"Community food, housing, and other relief services, including rehabilitation services",19366,28465
711100,Performing arts companies,17251,17808
711200,Spectator sports,5484,13104
711500,"Independent artists, writers, and performers",17141,24073
711A00,Promoters of performing arts and sports and agents for public figures,9409,30052
712000,"Museums, historical sites, zoos, and parks",7193,20434
713100,Amusement parks and arcades,4941,8344
713200,Gambling industries (except casino hotels),6283,9278
713900,Other amusement and recreation industries,8038,18760
721000,Accommodation,27610,34596
722110,Full-service restaurants,67344,110319
722211,Limited-service restaurants,111454,143328
722A00,All other food and drinking places,62907,94973
811100,Automotive repair and maintenance,40831,47172
811200,Electronic and precision equipment repair and maintenance,50900,64168
811300,Commercial and industrial machinery and equipment repair and maintenance,12700,13681
811400,Personal and household goods repair and maintenance,17722,20603
812100,Personal care services,5176,15078
812200,Death care services,30961,46819
812300,Dry-cleaning and laundry services,7516,11735
812900,Other personal services,15275,16196
813100,Religious organizations,15995,34235
813A00,"Grantmaking, giving, and social advocacy organizations",12255,21646
813B00,"Civic, social, professional, and similar organizations",22449,29800
814000,Private households,42659,46534
S00500,Federal general government (defense),17330,17330
S00600,Federal general government (nondefense),248004,407610
491000,Postal service,161051,256052
S00102,Other federal government enterprises,41606,35965
GSLGE,State and local government educational services,3796,5666
GSLGH,State and local government hospitals and health services,10696,13716
GSLGO,State and local government other services,627552,694049
S00203,Other state and local government enterprises,115292,132120
S00401,Scrap,404283,499310
S00402,Used and secondhand goods,16214,-12008
S00300,Noncomparable imports,12191,27332
S00900,Rest of the world adjustment,63121,122195
